group_name,time_in_hours,absorbance,dilution_factor
G3_4AP_C,48,0.68909,1
G3_4AP_C,48,0.6597,1
G3_4AP_C,48,0.68307,1
G3_4AP_C,72,0.73488,1
G3_4AP_C,72,0.79793,1
G3_4AP_C,72,0.85778,1
G3_4AP_C,72,0.66453,1
G3_4AP_C,72,0.63413,1
G3_4AP_C,72,0.65774,1
G3_4AP_C,96,0.67431,1
G3_4AP_C,96,0.75659,1
G3_4AP_C,96,0.81095,1
G3_4AP_C,96,0.62667,1
G3_4AP_C,96,0.59584,1
G3_4AP_C,96,0.62265,1
G3_4AP_C,120,0.70948,1
G3_4AP_C,120,0.74901,1
G3_4AP_C,120,0.79458,1
G3_4AP_C,120,0.62165,1
G3_4AP_C,120,0.59221,1
G3_4AP_C,120,0.61437,1
G3_4AP_C,144,0.68111,1
G3_4AP_C,144,0.7167,1
G3_4AP_C,144,0.76744,1
G3_4AP_C,144,0.60474,1
G3_4AP_C,144,0.57576,1
G3_4AP_C,144,0.59306,1
G3_4AP_C,168,0.67885,1
G3_4AP_C,168,0.7154,1
G3_4AP_C,168,0.76146,1
G3_4AP_C,168,0.60092,1
G3_4AP_C,168,0.57281,1
G3_4AP_C,168,0.59365,1
G3_4AP_C,504,0.65926,1
G3_4AP_C,504,0.65408,1
G3_4AP_C,504,0.69668,1
G3_4AP_C,504,0.54786,1
G3_4AP_C,504,0.52442,1
G3_4AP_C,504,0.53943,1
G3_4AP_C,672,1.07883,1
G3_4AP_C,672,0.69097,1
G3_4AP_C,672,0.69612,1
G3_4AP_C,672,0.54758,1
G3_4AP_C,672,0.51949,1
G3_4AP_C,672,0.53047,1
G3_4AP_C,840,1.09859,1
G3_4AP_C,840,0.70733,1
G3_4AP_C,840,0.68162,1
G3_4AP_C,840,0.53414,1
G3_4AP_C,840,0.52547,1
G3_4AP_C,840,0.52166,1
G3_4AP_C,1008,1.208,1
G3_4AP_C,1008,0.725,1
G3_4AP_C,1008,0.904,1
G3_4AP_C,1008,0.854,1
G3_4AP_C,1008,0.526,1
G3_4AP_C,1008,1.082,1
G3_4AP_C,1176,1.136,1
G3_4AP_C,1176,1.292,1
G3_4AP_C,1176,0.929,1
G3_4AP_C,1176,0.951,1
G3_4AP_C,1176,0.835,1
G3_4AP_C,1176,0.367,1
G3_4AP_C,1344,0.38834,1
G3_4AP_C,1344,0.43278,1
G3_4AP_C,1344,0.44586,1
G3_4AP_C,1344,0.36148,1
G3_4AP_C,1344,0.32304,1
G3_4AP_C,1344,0.34932,1
G3_4AP_C,1512,0.38056,1
G3_4AP_C,1512,0.39142,1
G3_4AP_C,1512,0.43229,1
G3_4AP_C,1512,0.35947,1
G3_4AP_C,1512,0.33675,1
G3_4AP_C,1512,0.34295,1
G3_4AP_C,1680,0.38947,1
G3_4AP_C,1680,0.44109,1
G3_4AP_C,1680,0.45932,1
G3_4AP_C,1680,0.37439,1
G3_4AP_C,1680,0.36503,1
G3_4AP_C,1680,0.37636,1
G4_4AP_HNT_C,0.25,0.03644,1
G4_4AP_HNT_C,0.25,0.02391,1
G4_4AP_HNT_C,0.25,0.02975,1
G4_4AP_HNT_C,0.25,0.03443,1
G4_4AP_HNT_C,0.25,0.03216,1
